,Pos,Team,GP,W,L,GF,GA,GD,Pts,Conference,Year
140,1.0,Columbus Crew,30,12,5,40,32,8,49,Overall,2004
658,1.0,Los Angeles FC ,34,21,4,85,37,48,72,Overall,2019
566,1.0,Toronto FC ,34,20,5,74,37,37,69,Overall,2017
369,1.0,San Jose Earthquakes ,34,19,6,72,43,29,66,Overall,2012
611,1.0,New York Red Bulls ,34,22,7,62,33,29,71,Overall,2018
211,1.0,D.C. United ,30,16,7,56,34,22,55,Overall,2007
162,1.0,San Jose Earthquakes ,32,18,4,53,31,22,64,Overall,2005
314,1.0,LA Galaxy,34,19,5,48,28,20,67,Overall,2011
484,1.0,New York Red Bulls ,34,18,10,62,43,19,60,Overall,2015
298,1.0,LA Galaxy,30,18,7,44,26,18,59,Overall,2010
76,1.0,Sporting Kansas City,32,16,7,47,29,18,57,Overall,2000
30,1.0,D.C. United ,32,17,11,70,53,17,55,Overall,1997
407,1.0,New York Red Bulls ,34,17,9,58,41,17,59,Overall,2013
10,1.0,Tampa Bay Mutiny ,32,19,12,66,51,15,58,Overall,1996
445,1.0,Seattle Sounders FC ,34,20,10,65,50,15,64,Overall,2014
186,1.0,D.C. United ,32,15,7,52,38,14,55,Overall,2006
238,1.0,Columbus Crew ,30,17,7,50,36,14,57,Overall,2008
524,1.0,FC Dallas ,34,17,8,50,40,10,60,Overall,2016
267,1.0,Columbus Crew ,30,13,7,41,31,10,49,Overall,2009
